rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
12,Benítez,93550,4,276,True,0.7,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
12,Maycon Douglas,93653,5,265,True,0.8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Atacante,ata
12,Marlon Freitas,93790,4,373,True,1.5,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Meia,mei
12,Cleiton,93882,1,280,True,2.0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,Bragantino,Goleiro,gol
12,Breno Lopes,93988,5,275,True,12.3,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Palmeiras,Atacante,ata
12,Perotti,94286,5,315,True,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
12,Lima,94288,4,315,True,1.6,0,2,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Meia,mei
12,Matheus Babi,94444,5,293,True,0.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Atacante,ata
12,Raphael Veiga,94509,4,275,True,0.2,0,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,Meia,mei
12,Oliveira,94514,3,373,True,1.0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Zagueiro,zag
12,Pedro,94583,5,262,True,8.9,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Flamengo,Atacante,ata
12,Capixaba,94894,5,286,True,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Atacante,ata
12,Juninho Capixaba,94968,2,265,True,2.1,1,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Lateral,lat
